               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078686,            0.028205,            0.039143,             0.15615,             0.27365,             0.15279,            0.058522,            0.065707,            0.013244,            0.034973,            0.070224,           0.0033085,           0.0033085
                   1,            0.057512,            0.021763,            0.026706,             0.30911,             0.42459,             0.32482,             0.16278,            0.060098,            0.012288,            0.027722,            0.040158,            0.006576,            0.006576
                   2,            0.052291,            0.020152,            0.022009,             0.61732,              0.3525,             0.33718,             0.16445,            0.059834,             0.01293,            0.021133,            0.010026,           0.0097776,           0.0097776
                   3,            0.051371,            0.020763,            0.020823,             0.26417,             0.24863,             0.21469,             0.10766,            0.062953,            0.013876,            0.023734,            0.009703,            0.009703,            0.009703
                   4,            0.049987,            0.021067,            0.021389,              0.1962,             0.22422,             0.15559,            0.068225,            0.066694,            0.016575,            0.035942,            0.009703,            0.009703,            0.009703
                   5,            0.047764,            0.020932,            0.020505,             0.15413,             0.12494,             0.13067,            0.052926,            0.062273,            0.015489,             0.02914,            0.009604,            0.009604,            0.009604
                   6,             0.04891,             0.02109,            0.020462,             0.29903,             0.29622,             0.24453,             0.10355,            0.058562,            0.016265,             0.02598,            0.009505,            0.009505,            0.009505
                   7,            0.046684,            0.021315,            0.018467,             0.25024,             0.30822,             0.21726,             0.10499,            0.063597,            0.014555,            0.041594,            0.009406,            0.009406,            0.009406
                   8,            0.045844,             0.02104,             0.01708,             0.51154,             0.29947,             0.31841,             0.18197,             0.05366,            0.014156,            0.023923,            0.009307,            0.009307,            0.009307
                   9,            0.044675,             0.02053,            0.017428,             0.34621,             0.36254,             0.30715,             0.16039,            0.055047,            0.014466,             0.02653,            0.009208,            0.009208,            0.009208
                  10,            0.044182,            0.020619,            0.016529,             0.31626,             0.33896,             0.30825,             0.17074,            0.057863,            0.014465,            0.033276,            0.009109,            0.009109,            0.009109
                  11,            0.044197,            0.020227,            0.016278,             0.49502,             0.39593,             0.37175,             0.20919,             0.05854,            0.013992,            0.023678,             0.00901,             0.00901,             0.00901
                  12,            0.043769,            0.020485,            0.015466,             0.33749,             0.41313,             0.34643,             0.19329,            0.054486,            0.013885,             0.02098,            0.008911,            0.008911,            0.008911
                  13,            0.041941,            0.020383,            0.015576,             0.48832,             0.38026,             0.39869,             0.22495,            0.051476,            0.013777,            0.023051,            0.008812,            0.008812,            0.008812
                  14,            0.041751,            0.020085,            0.014443,             0.33054,             0.38742,             0.32566,             0.18248,            0.053787,            0.014372,            0.022481,            0.008713,            0.008713,            0.008713
                  15,            0.041129,            0.019772,            0.014345,             0.62886,             0.38235,             0.45602,             0.27572,            0.050808,             0.01286,            0.018988,            0.008614,            0.008614,            0.008614
                  16,            0.040324,            0.019423,            0.013216,             0.30779,             0.38662,             0.34786,             0.19612,            0.053676,            0.014419,             0.02276,            0.008515,            0.008515,            0.008515
